964:970,2403,3207,10046,9490,7817,33639,8871,20167,5108
982:1119,496,472,594,812,3046,7506,326,15242,819
1027:9874,9417,6097,2103,1147,4792,14593,2632,3211,1740
1028:1762,2570,5421,19529,41190,10996,14136,26834,65457,70864
1049:5287,10048,8574,41249,2545,33595,9981,29290,11070,86744
1068:5975,4218,6880,13267,7675,3426,1130,6359,32062,4807
1132:13732,22315,19757,30528,5490,19531,861,2200,591,2626
1141:1790,1435,3789,176,8011,1449,6455,1066,3309,10695
1148:1023,901,1126,1937,179,3841,4187,7006,3527,5975
1166:774,4697,375,970,3506,2115,1827,2714,2696,2403
1192:18209,58,101,554,94,1382,1239,1804,4174,3250
1204:302,29,3234,749,1476,495,1180,4025,3632,7827
1208:17,162,239,3,726,194,395,511,1567,837
1342:9581,88,61772,4753,5347,11677,39947,30002,24711,17250
1397:4021,7585,2307,17071,4740,12589,49725,33785,39801,8940
1402:616,591,1424,15583,153,917,2158,16595,20440,302
1419:11725,7880,14401,8225,35993,16519,31251,44302,72914,6568
1437:357,4919,5857,1544,6303,776,3847,11762,10075,20850
1486:43358,14147,2634,15623,26847,42089,26131,30972,5890,15180
1491:40538,16127,8532,39649,15836,4013,76293,24720,50458,10581
1634:9662,42089,26131,15180,8337,39464,10783,77141,4147,113297
1642:356,5514,3163,4497,5925,16210,12408,6096,9996,13136
1721:34700,4697,4967,375,559,2115,4907,95,2246,9580
1728:239,726,2868,395,1567,837,2361,5025,2060,6284
1745:1133,28,14969,14779,30461,16474,72732,63861,9501,10990
1761:19433,25716,101433,70173,66480,103292,119401,6379,16386,27060
1767:1119,1187,3234,749,496,1476,495,692,472,2338
1788:2345,14761,15676,6977,18777,29732,14906,18448,1790,1551
1842:58,554,1804,4174,73,530,2469,1313,4669,13458
1880:1119,496,472,594,812,3046,7506,326,15242,819
1891:4828,4203,4169,14414,20387,6830,28235,9018,5673,49718
1911:29727,5319,12294,24825,51578,17232,74204,7097,35817,36290
1912:138,521,803,1622,4048,5581,2163,1510,2700,3886
1913:66665,813,493,4032,578,2428,223,7059,7409,9146
1951:5182,13490,41525,42869,63173,36824,37497,65588,36996,22516
1952:449,521,380,1622,4048,2163,1510,2700,3886,109
2025:923,18512,18781,31848,61580,90630,60222,77172,92686,111350
2034:9914,6186,1472,24390,25636,49708,57937,43289,22928,22904
2038:8881,25769,21610,59526,63373,59976,16070,24959,26967,102642
2112:24196,28352,23001,36067,7521,38803,60765,12081,110844,81258
2116:1119,1187,496,472,594,812,3046,7506,15484,326
2185:354,361,394,1555,22,1001,3429,2185,470,1930
2211:1023,1126,179,3841,4187,7006,3527,2085,12872,9567
2301:14018,3989,7611,11434,19643,38604,3097,22331,10300,33889
2304:3348,5550,10617,38984,42410,2153,760,877,1124,7180
2325:61,239,999,3,875,726,2868,395,1009,1567
2347:34298,2186,64260,67760,58282,73249,52982,52756,38831,85842
2382:26335,12776,18360,8587,3766,6105,7333,11355,3171,28212
2384:4420,6945,52673,1119,496,472,594,812,3046,7506
2385:302,29,3234,749,1476,2121,692,3730,5553,699
2395:17,3,1567,837,2361,6284,9480,14758,13681,14330
2399:10842,18877,77881,47516,26312,25479,72128,71568,75951,62845
2408:58419,239,3,726,2868,395,1567,837,2361,5025
2429:354,1499,22,1044,278,2430,2976,5638,657,9890
2447:289,101,554,1804,3,726,2868,395,73,1567
2454:1206,7880,15608,8225,14401,35993,31251,16519,44302,6568
2456:29,32,3234,96,749,1476,495,692,3730,5553
2524:302,3234,749,1476,495,294,692,1001,3429,2185
2541:4420,6945,52673,4697,4967,470,559,4008,4816,2115
2547:27535,2944,2338,7210,3757,2917,2831,1181,1752,6765
2591:45,5575,1231,1393,4173,7243,4423,8156,2876,6445
2601:311,8759,1547,19378,21479,18602,27593,11737,28122,17002
2612:1277,10012,2062,2454,7578,10040,23867,11789,12015,30427
2615:4499,730,2538,3292,12066,5413,1162,12634,7009,4223
2625:99182,95000,14290,33465,774,970,3506,1827,2714,2403
2636:29,239,3234,749,1511,1476,3,495,726,692
2639:34116,508,94,3250,3288,1065,1881,165,13838,3093
2650:23102,14600,19433,25716,90235,74367,101433,33609,38794,64536
2663:931,431,2583,481,7048,571,1339,4107,646,21380
2716:4238,21085,17893,7733,24589,34128,82330,96532,99401,103914
2734:564,5022,10295,10749,13931,14871,29221,15787,4215,16390
2735:678,3256,3204,1796,88,61772,4753,5347,2387,11677
2745:7910,3973,2046,6230,3193,23723,13657,402,546,4697
2746:4158,27209,16151,24118,5595,38773,35685,32863,22338,13137
2760:861,1424,15583,11459,153,917,2158,16595,20440,29
2799:10163,1351,2481,1738,46108,44318,13151,24381,37509,27189
2802:2594,239,3,726,2868,395,1567,837,2361,5025
2804:1508,3071,18449,35788,42881,92287,47191,84136,508,1382
2815:12136,30976,27295,72499,9326,36681,54564,6128,10888,13371
2831:29,3234,749,1476,495,591,1424,4025,15583,11459
2871:2068,5545,20889,57940,31195,31709,44433,15422,11780,68038
2912:1551,1435,3789,176,8011,1449,6455,1066,3309,10695
2914:591,1424,15583,11459,153,917,2158,16595,20440,1102
2924:53138,1400,574,2028,7711,12254,23285,4462,2962,9709
2925:5398,15337,12165,54442,69237,2626,2338,7210,1181,6292
2970:68239,616,813,591,294,5575,4181,493,2172,490
3004:4792,3601,16381,27361,7351,12657,37747,1560,47587,47350
3013:3915,8514,4966,6266,4485,9368,5450,1458,149,14000
3044:58,354,289,101,554,239,131,3,4174,726
3070:12223,93,26529,8995,3095,5775,31739,12388,9557,42721
3100:101,554,1804,4174,73,530,2469,1313,4669,13458
3102:2153,14754,1400,760,574,1124,7711,7180,10020,12207
3105:2149,36085,7026,19964,16739,25196,809,27230,38474,38870
3111:10640,12023,7917,24981,1681,22686,3738,3018,8272,7634
3113:1876,13832,18741,26344,19789,42785,69735,39802,55330,24894
3139:254,7194,4932,17934,9739,2638,81900,88980,77379,112071
3170:94,1382,3250,3288,1065,1881,28,165,13838,3093
3172:7769,14857,21645,23426,6314,9823,34831,46427,46432,47624
3184:8935,14452,53060,108727,111704,1131,13312,1902,11467,8483
3195:2937,6129,5655,7849,9302,6789,3025,3278,6001,16788
3229:345,33118,102919,9396,53452,32,97,96,2944,209
3239:17,29,354,239,1462,3234,749,1499,1476,1832
3258:1140,10012,204,2062,2454,7578,10040,23867,12015,11789
3277:40263,3599,9874,5363,11899,35229,15255,25230,32748,26519
3279:3753,4963,11309,13002,14083,22517,9801,19522,14891,16742
3295:6916,5812,7305,62168,87110,1730,5097,3568,890,4743
3320:7160,6754,3370,35218,24752,63563,45954,108622,12761,12743
3353:16624,16385,108422,33952,866,32,1023,1109,931,1126
3374:70145,1009,2597,16515,6691,2239,1708,8934,19877,9741
3412:1007,2051,21113,56533,68683,71593,72467,78657,79323,88275
3423:94,1382,3250,3288,1065,1881,165,13838,3093,5689
3426:58,289,101,483,1804,4174,5575,4181,73,2172
3429:1462,42,317,776,22308,10075,20850,6766,12379,46535
3432:12223,93,8995,12843,1726,42721,60448,13739,74861,41761
3475:633,3142,703,2829,9106,9894,2748,8444,7990,31906
3478:449,1277,1622,4048,5581,2163,204,10012,1510,2700
3557:1970,2582,5550,135,14593,13194,15623,7153,3709,14048
3579:17,239,726,2868,395,1567,837,2361,5025,9480
3580:12586,6732,13785,641,28926,5742,28513,66672,52186,74810
3599:6732,28513,66672,9600,52186,24831,28736,12125,33078,43645
3610:1164,2008,21696,4727,1377,34500,37192,1102,508,138
3613:2630,1526,11565,20280,51611,73826,79421,111213,47426,107307
3694:736,3017,86,7407,5514,3163,5286,10,4497,370
3728:29384,22555,108265,44996,1023,1126,179,3841,4187,834
3737:239,3,294,726,2868,395,1567,837,1001,3429
3751:29,245,32,1109,1550,3234,999,749,1476,495
3752:1089,449,3730,254,521,5553,3162,7194,380,1622
3811:75251,1155,10180,5319,11902,1376,1877,29468,12294,5214
3820:3234,749,495,692,4025,16288,14617,915,4563,5961
3921:63922,5860,1453,2616,30033,6692,42780,31059,116535,7183
3947:1023,901,1126,3841,4187,834,7006,3527,12872,9567
3950:44444,25229,76566,48760,113410,37569,78316,75741,53322,21009
4007:34358,35459,43754,37179,34075,26820,20507,3277,122007,115630
4008:931,431,2583,481,7048,571,7806,1339,4107,21380
4031:94,1382,3250,3288,1065,1881,165,13838,3093,5689
4035:774,106,3506,1827,2816,2696,2714,2403,3207,974
4067:861,3234,749,1476,495,692,888,1424,4025,15583
4103:239,3,726,2868,395,1567,837,2361,1091,5025
4104:1023,179,3841,4187,834,7006,3527,2085,12872,9567
4167:508,94,3250,3288,1065,1881,1606,12776,165,13838
4171:11755,52926,13407,5112,11050,24703,2766,14595,45200,50283
4248:25152,22269,25889,16247,39946,88504,2075,13082,61489,86333
4265:17,239,3,726,2868,1567,837,2361,5025,6284
4273:361,1023,239,1126,1499,3,179,449,3841,726
4275:29,32,931,3234,96,431,749,1476,495,692
4353:787,1023,901,1126,179,3841,4187,834,7006,3039
4357:873,2200,103,431,1287,2583,2429,3304,888,1152
4407:726,2868,395,1567,837,2361,5025,6284,12632,14758
4457:3523,61158,31828,12302,14716,75150,58458,17702,74358,86607
4458:764,10323,21635,33174,35936,21548,15306,16536,38993,33831
4517:1102,239,3,1762,726,3730,4542,596,2868,395
4522:26509,311,4671,7622,19378,21479,27593,28122,11737,17002
4537:186,22713,40356,7649,64973,45641,301,394,1001,3429
4588:41184,20183,10011,55798,59953,39447,84640,14778,58,101
4637:3926,112559,100737,85219,80020,79749,75969,69811,66308,33413
4641:12990,8454,10687,38204,43526,17145,24985,81432,69667,113702
4682:10048,2600,3105,8574,41249,22920,11783,9981,29290,65714
4687:726,2868,395,1567,837,2361,5025,6284,9480,12632
4692:239,1511,3,726,5117,2868,395,1567,837,4487
4751:367,1600,12332,14841,29722,3908,28935,53108,404,20758
4760:40263,5398,15337,4425,11612,4427,26985,16669,12165,9867
4762:1549,1578,16695,12011,48929,19209,17238,9076,27802,88570
4788:58,1102,101,554,239,1499,1804,3,1762,4174
4816:10852,30532,25877,7004,18441,12244,21692,5903,48289,8304
4831:29,239,3234,749,1476,3,495,726,692,2868
4870:17,239,3,2868,395,1567,837,2361,5025,14758
4894:4880,873,931,546,431,2583,481,7048,1155,571
4934:1352,27070,7160,10687,19697,38204,24752,35625,43526,4459
4944:873,931,431,2583,481,7048,571,1339,4107,21380
4946:4249,6527,4012,6439,5395,9160,1218,410,8166,11503
4961:30143,28198,12652,58383,36924,54994,118180,118760,6916,5111
4986:58917,1435,3789,176,8011,1449,6455,1066,3309,3407
4998:17,861,1550,1549,3,1578,591,726,2937,3730
5002:4949,9216,5945,53856,34922,74954,8524,27744,41554,59772
5006:596,1231,3484,7841,2194,2379,7243,4423,5991,3638
5015:5117,4487,4793,24568,3482,29999,35840,22633,27999,22340
5018:292,6598,13447,32034,27336,77964,34793,65314,15571,40666
5086:32,500,1023,1109,1126,546,179,3841,4187,834
5088:58,289,101,554,500,813,4174,73,493,530
5090:57521,59017,33941,91608,99952,121610,117859,302,29,3234
5120:866,7194,201,3001,4932,16956,17934,14528,31915,7925
5147:861,1424,15583,11459,153,2158,16595,20440,29,3234
5207:29017,33239,47534,81304,60963,58113,105986,105497,102450,94411
5214:65377,49469,25976,120818,60667,14960,14894,5905,1101,26895
5271:36535,32768,75582,26538,34467,44920,120510,100607,99356,92036
5306:285,596,5991,3638,10349,13717,2890,21578,12803,53873
5323:22889,31324,4988,30471,12622,16221,25532,30562,64926,81755
5335:1102,239,3,1762,726,2868,395,1567,837,2361
5364:10305,7450,21442,10033,4871,83764,13279,72618,35879,82444
5397:29,289,101,554,239,1550,3234,749,2618,1804
5398:182,1444,10640,12023,3588,7917,24981,1681,22686,1746
5425:554,1804,4174,73,530,2469,1313,4669,13458,10247
5434:654,3730,3162,2366,3028,7228,2379,3014,2734,22597
5456:364,296,211,1100,4299,8058,13684,1626,22424,37009
5458:1205,827,3977,4991,497,5676,42713,29458,23959,27853
5472:16286,3498,12116,54389,10071,3972,6227,2157,44020,13052
5477:2068,5545,5184,37419,20889,57940,11780,44433,15422,31709
5478:1410,1205,827,3618,4991,497,5676,42713,30976,23959
5480:3234,749,495,692,4025,16288,14617,915,4563,5961
5499:1453,9548,2616,6692,31059,42780,116535,7183,93502,81629
5500:16211,65045,49627,52778,79221,84530,90243,90787,99656,111688
5527:1023,239,901,1126,3,294,3841,726,2868,395
5551:361,40263,6632,13390,75000,84709,30906,75002,55906,302
5562:508,1382,944,3250,3730,3288,1065,5553,1180,1881
5580:32,96,209,855,3680,3546,5346,5414,8057,26156
5611:51975,123,69591,29274,76099,44464,84870,45876,74161,21509
5644:1957,7407,370,810,14328,13901,10180,6192,52521,26639
5645:2743,9106,11762,17850,6567,22723,1483,25737,23724,15444
5656:4181,2172,4374,3929,1413,3805,1021,3839,2298,35048
5666:236,14750,12253,8861,4756,5080,1912,4075,7795,28505
5707:11725,6601,15608,8225,16519,31251,35993,72914,44302,6568
5718:1119,48,1187,1499,496,254,472,22,7194,594
5765:39997,861,873,431,591,2583,1957,511,1424,481
5865:7312,4906,108882,41980,37538,44196,59396,114018,113372,104129
5866:1555,3599,3184,1388,6094,11899,1346,2861,25230,35229
5890:7610,21610,59526,16070,26967,36947,63373,91985,54733,34760
5905:9581,88,61772,4753,5347,11677,39947,24711,30002,17250
5990:87258,17,239,3,726,2868,395,2944,1567,837
6002:356,3017,86,5514,3163,4497,5929,11406,16210,14518
6013:3265,5956,12236,12435,1878,18293,11234,23682,44423,54477
6020:56900,5053,18975,23230,57734,112285,85562,5363,26519,48061
6062:646,6732,13785,18632,51043,31773,19235,28513,44474,23283
6073:29,3234,749,1476,813,495,294,692,3730,493
6093:1762,2570,5421,19529,41190,26834,10996,14136,20631,65457
6109:1359,6243,9846,15921,29891,3241,8404,22733,3652,18370
6118:21696,4727,1377,34500,37192,431,2583,481,7048,571
6128:3234,749,1476,495,692,4025,16288,14617,915,4563
6135:5184,20889,57940,11780,44433,15422,31709,31195,46147,68038
6137:58,289,1804,1762,4174,73,530,2469,1313,4669
6140:1550,2200,1287,3304,1152,1521,106,4173,2816,974
6164:986,835,6862,7573,6227,6231,12463,28464,28926,57763
6179:73457,24825,74204,51578,7097,25398,76306,36290,88066,68156
6186:101,554,1804,4174,73,530,2469,1313,4669,13458
6202:4697,4967,559,2115,4907,9916,3141,10256,12223,95
6205:11719,17164,17290,61631,63845,22868,6305,68217,74510,69116
6207:39546,239,3,726,2868,395,1567,837,2361,5025
6210:1102,138,449,521,803,6450,380,4420,1622,4048
6219:34129,109744,106146,10041,1206,7859,11725,7880,8225,14401
6283:162,394,239,4268,3,294,726,194,4542,2868
6292:9710,26267,108135,47086,39731,106173,94702,94485,72746,61034
6331:15992,56652,1555,10071,3915,3864,5860,6254,6732,8514
6392:5812,17403,7305,62168,87110,1164,4880,4021,636,1400
6404:34397,13848,46771,28755,4119,29783,9783,2833,2460,5894
6407:28621,36360,30043,59423,104662,12016,24707,27711,62155,33240
6420:8066,2582,13312,1902,7225,14593,11467,16188,2155,8483
6457:40240,766,43008,3504,17393,3720,3875,17005,29476,35978
6469:521,380,1622,4048,5581,2163,1510,2700,3886,109
6475:9401,30013,30294,37870,119570,101268,83243,78524,302,29
6543:1462,42,22308,46535,956,12941,9955,29621,13963,46864
6555:58,554,4174,73,530,2469,1313,4669,2570,5421
6593:1140,1277,10012,204,2062,2454,7578,10040,23867,11789
6594:1119,48,1187,496,1913,472,594,1155,7806,812
6597:1550,388,1302,4173,2528,2876,12811,1839,4093,5922
6600:2379,28464,16685,5935,18639,20462,68278,13157,42159,104404
6655:546,788,4068,1995,7806,1876,5610,7573,11887,32755
6671:6166,25880,4794,16874,69183,50861,29913,25960,39897,44915
6676:534,7905,27705,17123,54038,43893,32205,63512,53322,85561
6682:239,3234,749,1476,3,726,692,2868,395,837
6724:11325,3241,7237,22733,2286,18370,18409,25693,3573,1250
6737:873,931,2200,1287,2583,3304,1152,481,7048,1521
6755:1102,182,1762,2570,5421,35630,19529,41190,14136,26834
6773:1119,496,472,594,812,3046,7506,326,15242,819
6792:1762,2570,5421,19529,41190,26834,14136,10996,20631,65457
6881:6491,18239,6127,11671,5630,785,686,32616,21799,47043
6883:4542,54,2166,6485,7505,23555,10127,29978,30441,57074
6889:239,3,726,2868,395,1567,837,2101,2361,3216
6895:49241,10947,112254,654,546,3730,888,5553,342,4328
6933:82584,27277,35136,63146,17492,1745,8745,14521,22047,52631
6960:1023,1126,179,3841,254,1551,4187,834,7006,1435
6977:301,54,3855,2166,6485,2617,7505,14729,23555,14834
6982:73805,254,7194,4932,4093,2354,17934,3043,2638,26437
6984:53992,931,431,2583,481,571,1339,4107,21380,1288
6992:970,3506,1827,2714,2403,3207,1524,10046,21433,9490
7019:30,1362,9088,8445,1886,19963,16092,16912,10869,14922
7035:7411,49084,10898,4487,4793,24568,3482,2000,29999,35840
7036:449,4542,521,54,3855,2166,380,1622,4048,5581
7044:48,1187,496,472,594,8579,8151,812,3046,7506
7053:13312,1902,2100,8483,9239,6411,19960,2077,32607,37795
7118:29,138,162,239,3234,1140,749,1476,813,3
7133:239,3234,749,1476,3,495,1790,726,692,395
7137:70580,4943,7082,8563,24035,34038,39684,50432,59805,84850
7159:101,554,1804,73,530,2469,1313,4669,10247,2542
7178:25588,873,931,431,2583,481,7048,571,1339,4107
7192:1287,1152,3274,14590,20807,14551,22281,37739,1731,29092
7242:19029,44935,7614,22848,9782,20037,94354,29302,43282,54008
7268:3234,749,1476,495,692,4025,16288,14617,915,5961
7291:12217,4856,21433,28604,47257,27731,22970,20173,16269,14968
7326:239,3,1164,726,2868,395,1567,837,4880,2361
7340:5670,8042,9696,10254,56166,15238,93555,25928,36223,33321
7346:50550,25984,69173,29165,75173,98443,49762,48907,84210,47868
7410:2307,33785,49725,16763,28033,12273,13039,38167,31388,16359
7419:3599,2370,11899,28541,35229,25230,15255,416,5235,34764
7433:239,3,294,726,2868,395,1567,837,1001,3429
7451:8794,12495,25649,52829,55235,65161,16147,92462,102397,106372
7461:14593,2632,12223,21038,13194,3709,14048,93,10292,13534
7466:2268,1951,16514,20711,29097,4934,24187,24738,28682,7149
7556:67880,48210,25740,9656,42353,17498,25466,3481,14505,20008
7563:3234,749,1476,495,692,4025,16288,14617,915,4563
7586:14754,760,877,1124,10020,20718,29987,27784,61648,48465
7590:44144,289,101,363,554,394,239,1804,3,294
7608:1762,2570,5421,19529,41190,10996,14136,26834,8688,20631
7612:616,591,1424,15583,11459,153,917,2158,16595,20440
7678:1206,6601,14401,15608,16519,31251,35993,72914,44302,6568
7699:20952,13298,929,5353,9341,1919,18476,105524,123155,93023
7713:52749,236,14750,12253,8861,4756,5080,4075,1912,7795
7760:94,1382,3250,3288,1065,165,13838,3093,5689,10792
7766:31890,82919,27171,44704,16879,21421,43500,61436,93752,102443
7787:12776,1820,18360,16191,8587,7333,6105,9876,3766,11355
7825:1790,1551,3789,1449,6455,1066,3309,10695,3407,1074
7833:646,51043,19235,44474,8020,48401,43365,49243,44737,39641
7889:2379,28464,16340,24517,16685,5935,18639,20462,68278,3394
7945:1790,1551,1435,176,8011,1449,9417,6097,1147,6455
7951:239,726,2868,395,1567,837,2361,5025,10491,6284
7964:394,1001,3429,2185,1930,6353,1217,2151,5239,9215
7967:565,453,11179,26531,53369,15204,3996,56568,45974,111864
7969:254,7194,2917,4932,2117,22400,16950,7523,2177,2824
7976:17456,46610,93806,26279,56884,76001,414,35839,28679,44501
7990:94,1382,3250,3288,1065,2268,1951,1881,165,13838
8002:33472,5323,62607,2028,1003,1340,1875,2345,4421,16036
8009:861,1239,591,690,66,1424,15583,11459,13523,7800
8032:94,1382,3250,3288,1065,1881,165,13838,3093,10792
8036:36681,54564,72499,6128,10888,13371,19102,32914,42430,12982
8068:8476,538,28945,11358,16886,5962,7450,5053,21442,56900
8097:4268,1359,1598,6243,4958,4275,2048,6210,1165,9846
8103:59438,105169,93689,18937,41180,5184,20889,57940,11780,31195
8130:1102,1762,3521,1534,2570,8095,5421,2698,1820,1173
8141:2816,974,14152,10466,21389,13152,50156,29976,108181,87337
8144:2833,11255,7235,12223,93,34589,8995,34397,37594,15949
8186:37150,5421,19529,41190,10996,26834,14136,20631,65457,74027
8200:239,1499,3,726,2868,395,22,1567,837,1044
8206:47339,9462,336,3145,12145,5779,16047,21552,11468,15264
8225:774,10046,9490,7817,33639,8871,9217,25783,6423,20167
8227:16409,30109,49702,7740,2797,21804,39601,118942,102264,97084
8264:9407,5857,11762,8746,1758,17850,545,2309,19816,23950
8276:3234,749,1476,495,4025,16288,14617,915,5961,4563
8310:4341,44227,6224,108999,60114,120656,49237,118230,99167,1104
8325:302,29,3234,749,495,692,4025,16288,14617,915
8326:394,1001,2185,1930,1217,2151,5239,9215,8665,6593
8334:6457,5871,48066,2210,9992,66494,49759,2580,12318,49136
8343:508,94,239,931,1550,431,3,3250,726,2583
8347:289,101,1804,4174,73,530,2469,1313,4669,2570
8368:508,15,289,101,554,94,1382,1804,4174,3288
8401:239,3,726,1567,837,2361,5025,6284,9480,12632
8411:101420,239,3,726,2868,395,1567,837,2361,5025
8510:813,1822,493,578,2428,147,2535,7477,6868,151
8531:4181,2172,490,4374,3929,1413,3805,3839,2298,20748
8536:1057,470,4008,4816,8579,3505,11535,8151,9598,1876
8569:12016,24707,27711,62155,33240,27138,59034,39901,12820,4633
8578:106,2816,974,14152,10466,21389,13152,50156,29976,49746
8581:776,10075,20850,12379,12892,79573,93602,41349,79107,236
8600:4205,8191,7045,9152,15764,30981,6481,88756,80329,49290
8635:546,4068,3328,32031,6632,13390,75000,30657,84709,30906
8636:26437,27635,29280,4332,101261,256,81569,16141,62814,3095
8651:1119,496,472,594,812,3046,7506,326,15242,819
8692:18239,6127,11671,5812,17403,5630,785,686,32616,7305
8718:1400,7711,7235,4462,23285,34397,9709,13848,29475,37045
8719:29,500,239,3234,749,1476,3,495,1164,726
8736:6491,18239,6127,11671,5630,686,32616,21799,60905,56488
8747:85160,239,3,726,4542,2868,395,1567,837,54
8768:33632,39619,6657,26043,105369,89977,54474,31835,46731,57701
8782:9265,11741,17121,11897,31387,82186,82863,117157,104957,102791
8789:117014,94,1382,3250,3288,1065,1881,165,13838,3093
8844:2121,4205,8191,7045,15764,30981,6481,88756,80329,49290
8852:1218,13178,17513,72508,6263,63683,39703,1307,52329,3679
8862:2484,646,16084,6242,8273,51043,17708,19235,44474,22891
8868:1102,931,431,1762,2583,481,7048,2416,571,2570
8870:1762,3730,5553,3162,3028,2570,2734,5421,11053,9003
8889:931,431,1790,2583,1551,481,7048,3789,176,3214
8890:7806,11506,36526,5859,21593,23492,13022,19935,13826,19224
8912:7806,1218,11506,36526,13178,5859,23492,21593,72508,6263
8916:2979,2014,1407,2149,237,12427,19405,36085,44495,15941
8920:10071,2157,40537,7072,10712,6433,86065,91561,74663,98651
8958:31872,239,119,1140,3,726,194,2868,395,1009
9000:554,1804,4174,2469,1313,4669,13458,10247,2542,6513
9001:37507,29087,49517,110739,15995,47366,25629,4797,15627,7126
9079:4702,6836,381,1501,217,3516,38257,7516,41385,25656
9085:12776,18360,8587,6105,7333,3766,3171,11355,28212,41723
9106:239,3,726,2868,395,1567,837,2361,5025,6284
9122:861,1424,15583,11459,153,917,2158,16595,12427,44495
9141:34129,109744,106146,1206,7859,10687,2694,11725,6601,7880
9155:47339,55433,17740,14154,31210,66983,8409,86151,103001,120467
9158:3717,20279,24716,43198,76092,4808,51088,76373,34184,21295
9159:394,353,294,2268,3429,2185,1930,1598,6353,4958
9160:189,10687,19697,38204,35625,43526,4459,24985,81432,69667
9173:20988,2101,7739,5337,572,6918,24698,10427,20701,31665
9200:4621,3787,52378,30734,14671,14628,70182,45041,44407,84264
9224:9593,226,1790,1435,3789,176,8011,1449,6455,1066
9233:22776,15373,69881,523,44134,69008,89432,119615,121747,122837
9236:3915,4966,6266,4485,5450,9368,1458,149,14000,2637
9238:239,1344,3,726,4919,2868,395,1567,837,1544
9288:6793,207,26062,9349,16049,43906,17561,14474,119919,99314
9310:5575,7243,4423,8156,36128,1016,30794,39013,87100,58
9312:302,29,239,3234,749,1476,3,495,726,1200
9350:106,9045,14152,10466,21389,13152,50156,29976,108181,87337
9359:58,554,1804,4174,73,530,2469,1313,4669,13458
9369:19425,70415,117451,102067,88406,69267,63233,36083,931,431
9371:1119,496,472,594,8151,812,3046,7506,326,15242
9381:1913,22856,62347,40263,22507,7931,27768,19319,19376,94260
9400:58,138,289,101,238,861,236,1804,813,591
9431:1023,901,1126,179,3841,4187,7006,3527,2085,12872
9432:1762,2570,5421,19529,41190,26834,14136,10996,20631,65457
9442:28926,46823,9121,75480,57259,47872,34587,96720,92557,90231
9443:58,554,1804,4174,73,530,2469,1313,4669,13458
9451:899,239,48,1187,4268,496,3,726,3730,2626
9494:17727,78389,44383,100540,22680,99793,39196,110530,70085,3915
9500:5022,5729,10295,10749,13931,14871,29221,15787,16390,4215
9568:311,7622,8759,1547,19378,21479,18602,27593,28122,11737
9570:2200,1287,2429,3304,1521,2447,3274,3829,24211,4941
9573:538,10305,11358,16886,7450,21442,20855,66271,4871,83764
9590:1382,591,3288,1065,1881,15583,11459,153,165,13838
9613:10085,486,394,2200,294,2429,3304,1152,1001,3429
9680:1023,901,1140,1126,179,3841,194,4187,834,2097
9693:394,294,2626,4967,2338,1825,375,1001,3429,1231
9694:40263,508,94,1382,2618,1832,1002,3250,1065,1881
9711:27741,36868,18422,36005,36887,39875,50506,84537,86488,88297
9755:29,3234,749,1476,495,690,692,66,4025,388
9757:23599,48361,9682,45321,64665,65787,66320,69216,103016,59623
9786:32,1119,239,1410,48,1187,96,496,3,726
